Unnamed: 0.1,Unnamed: 0,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
45682,45682,2015-11-16,Renegades,Nexus,Inferno,16,8,1,1,12,3,4,5,1968,2299298,17,29,16,8,1,1.5194022640607727,0.3333333333333333,0.3333333333333333,2,-12,0.5,1
45678,45678,2015-11-16,CLG,Renegades,Cobblestone,11,16,2,1,3,12,8,4,1968,2299302,13,17,11,16,2,-48.30110284711259,-0.2,-0.11538461538461536,9,-4,0.0,0
45655,45655,2015-11-17,Renegades,Enemy,Inferno,16,14,1,1,9,6,7,8,1968,2299297,17,24,16,14,1,-14.514591702501775,-0.4,-0.4,3,-7,0.5,1
45654,45654,2015-11-17,Cloud9,Complexity,Cobblestone,16,1,1,2,2,0,14,1,1968,2299308,7,23,16,1,1,170.98736782629635,0.575,0.5892857142857143,6,-16,1.0,1
45653,45653,2015-11-17,Method,Nexus Storm,Mirage,16,10,1,1,9,6,7,4,1968,2299305,25,31,16,10,1,0.0,0.0,0.0,0,-6,0.5,1
45652,45652,2015-11-17,Cloud9,Method,Dust2,16,2,1,1,15,0,1,2,1968,2299306,7,25,16,2,1,86.65158784996083,-0.19999999999999996,-0.2666666666666667,14,-18,0.5,1
45651,45651,2015-11-17,Complexity,Nexus Storm,Dust2,15,15,2,1,3,12,12,3,1968,2299303,23,31,15,15,2,-69.7465247249213,0.1111111111111111,0.1111111111111111,8,-8,0.5,0
45650,45650,2015-11-17,CLG,Nexus,Mirage,16,7,1,1,8,7,8,0,1968,2299300,13,29,16,7,1,-28.71151392618708,0.3,0.35714285714285715,12,-16,0.5,1
45648,45648,2015-11-17,TSM,HellRaisers,Dust2,16,4,1,2,5,0,11,4,1970,2299348,3,20,2,0,1,0.0,0.0,0.0,0,-17,0.5,1
45647,45647,2015-11-17,TSM,HellRaisers,Overpass,22,19,1,1,4,11,11,4,1970,2299348,3,20,2,0,1,32.0,1.0,1.0,0,-17,1.0,1
45646,45646,2015-11-17,Dignitas,Virtus.pro,Cobblestone,16,7,1,2,6,2,10,5,1934,2299334,18,2,16,7,1,-97.85927161013842,-0.22499999999999998,-0.27717391304347827,-15,16,1.0,1
45645,45645,2015-11-17,Liquid,CSGL,Cache,16,13,1,2,8,6,8,7,1968,2299314,11,21,16,13,1,70.69599141366871,0.5,0.5294117647058824,13,-10,0.5,1
45643,45643,2015-11-17,Cloud9,Nexus Storm,Cache,16,2,1,2,3,0,13,2,1968,2299307,7,31,16,2,1,117.91134900524594,0.4,0.25,14,-24,0.5,1
45656,45656,2015-11-17,NiP,Virtus.pro,Overpass,16,13,1,1,11,4,5,9,1934,2299336,6,2,16,13,1,-7.8833972625359365,0.2142857142857143,0.0892857142857143,-17,4,0.0,1
45649,45649,2015-11-17,Complexity,Method,Inferno,10,16,2,1,4,11,6,5,1968,2299304,23,25,10,16,2,-102.4867635696362,-0.4,-0.4,8,-2,0.5,0
45657,45657,2015-11-17,Winterfox,CLG Red,Mirage,16,13,1,2,6,8,10,5,1968,2299317,22,30,16,13,1,-72.30836145839453,0.0,0.0,5,-8,0.5,1
45644,45644,2015-11-17,Games Academy,SKDC,Dust2,16,5,1,1,11,4,5,1,1968,2299311,26,27,16,5,1,0.0,0.0,0.0,0,-1,0.5,1
45659,45659,2015-11-17,mousesports,TSM,Cache,7,16,2,1,4,11,3,5,1934,2299340,8,3,7,16,2,17.96179240090919,-0.4,-0.36363636363636365,9,5,0.5,0
45658,45658,2015-11-17,Dignitas,Titan,Overpass,13,16,2,2,8,6,5,10,1934,2299337,18,12,13,16,2,26.413015069574612,0.0444444444444444,0.015873015873015872,-5,6,0.5,0
45671,45671,2015-11-17,fnatic,Envy,Inferno,16,10,1,1,7,8,9,2,1934,2299339,4,1,16,10,1,84.58710323335185,0.4285714285714286,0.4285714285714286,0,3,0.5,1
45670,45670,2015-11-17,HellRaisers,Natus Vincere,Cobblestone,8,16,2,2,0,9,8,7,1934,2299335,20,5,8,16,2,76.39115683470027,0.0,0.0,-6,15,0.5,0
45669,45669,2015-11-17,NiP,Titan,Mirage,16,3,1,2,4,0,12,3,1934,2299343,6,12,16,3,1,74.75569246974533,0.35,0.2833333333333333,-7,-6,1.0,1
45668,45668,2015-11-17,TSM,Envy,Cobblestone,12,16,2,2,6,7,6,9,1934,2299344,3,1,12,16,2,104.992897015278,0.75,0.75,-5,2,0.5,0
