season,date,event,patch,blue_team,red_team,winner,blue_team_win,elo_diff,winrate_last_5_diff,winrate_last_10_diff,winrate_last_20_diff,matches_played_diff,days_since_last_match_diff,head_to_head_winrate_diff,blue_side_team_winrate,red_side_team_winrate
3,2013-09-20,Main,,Team_Vulcun,Mineski,Team_Vulcun,1,58.85158298033707,0.5,0.5,0.5,0,0,0.5,0.5,0.0
3,2013-09-20,Main,,Fnatic,Samsung_White,Fnatic,1,95.52512513742772,0.30000000000000004,0.30000000000000004,0.23333333333333328,11,0,0.5,0.8333333333333334,0.5
3,2013-09-20,Main,,Mineski,Gambit_Gaming,Gambit_Gaming,0,-102.23727632385885,-0.75,-0.75,-0.75,1,-3,-0.5,0.0,0.5
3,2013-09-20,Main,,Fnatic,Team_Vulcun,Fnatic,1,94.4999538259226,0.20000000000000007,0.20000000000000007,0.15000000000000002,11,0,-0.5,0.8571428571428571,0.5
3,2013-09-20,Main,,Samsung_White,Gambit_Gaming,Samsung_White,1,-52.620191781322546,-0.4,-0.4,-0.4,0,0,-0.5,0.5,0.6666666666666666
3,2013-09-21,Main,,Samsung_White,Mineski,Samsung_White,1,90.86826812044569,0.6,0.5,0.5,0,0,0.5,0.6666666666666666,0.0
3,2013-09-21,Main,,Gambit_Gaming,Team_Vulcun,Gambit_Gaming,1,21.525478539224423,0.0,0.16666666666666663,0.16666666666666663,0,0,0.5,1.0,0.3333333333333333
3,2013-09-21,Main,,Fnatic,Mineski,Fnatic,1,215.06609214420382,0.8,0.8,0.7647058823529411,10,1,0.5,0.875,0.0
3,2013-09-21,Main,,Team_Vulcun,Samsung_White,Samsung_White,0,-32.63328287598051,-0.19999999999999996,-0.14285714285714285,-0.14285714285714285,0,0,-0.5,0.6666666666666666,0.3333333333333333
3,2013-09-21,Main,,Gambit_Gaming,Fnatic,Fnatic,0,-88.66218122000419,-0.4,-0.08571428571428574,-0.06349206349206349,-11,0,-0.5,1.0,0.6666666666666666
3,2013-09-21,Main,,Oh_My_God,TSM,Oh_My_God,1,62.68090737178295,0.6,0.5,0.5333333333333333,-11,0,0.5,1.0,0.3333333333333333
3,2013-09-21,Main,,GamingGear_2e-eu,Lemondogs,Lemondogs,0,-27.011644003967376,-0.25,-0.25,-0.25,0,0,-0.5,0.0,0.0
3,2013-09-21,Main,,TSM,SK_Telecom_T1,SK_Telecom_T1,0,-48.903909740075505,-0.35,-0.35,-0.3125,12,-3,-0.5,0.5555555555555556,0.0
3,2013-09-21,Main,,Oh_My_God,GamingGear_2e-eu,Oh_My_God,1,143.66349177695338,1.0,1.0,1.0,0,0,0.5,1.0,0.0
3,2013-09-21,Main,,Lemondogs,SK_Telecom_T1,SK_Telecom_T1,0,-60.831657642045,-0.4,-0.4,-0.4,0,0,-0.5,0.5,0.5
3,2013-09-22,Main,,SK_Telecom_T1,Oh_My_God,SK_Telecom_T1,1,-22.81317250752204,0.0,-0.16666666666666663,-0.16666666666666663,0,0,-0.5,1.0,1.0
3,2013-09-22,Main,,Samsung_White,Gambit_Gaming,Gambit_Gaming,0,7.5927652868365385,0.20000000000000007,0.0,0.0,0,0,0.0,0.75,0.5
3,2013-09-22,Main,,TSM,GamingGear_2e-eu,GamingGear_2e-eu,0,50.66822855078567,0.4,0.4,0.4117647058823529,11,0,0.5,0.5,0.0
3,2013-09-22,Main,,Oh_My_God,Lemondogs,Oh_My_God,1,93.04950835695877,0.6000000000000001,0.5238095238095237,0.5238095238095237,1,-1,0.5,1.0,0.3333333333333333
3,2013-09-22,Main,,GamingGear_2e-eu,SK_Telecom_T1,SK_Telecom_T1,0,-139.05643492310105,-0.8,-0.7142857142857142,-0.7142857142857142,0,0,-0.5,0.0,0.6666666666666666
3,2013-09-22,Main,,Lemondogs,TSM,Lemondogs,1,8.873119157091423,0.0,-0.01428571428571429,-0.1031746031746032,-11,0,-0.5,0.3333333333333333,0.2857142857142857
3,2013-09-23,Main,,Gambit_Gaming,NaJin_Black_Sword,Gambit_Gaming,1,27.592538337054748,0.0,0.06666666666666665,0.06666666666666665,4,-352,0.0,0.75,0.6666666666666666
3,2013-09-23,Main,,Fnatic,Cloud9,Fnatic,1,141.4077145203903,0.5,0.4,0.2894736842105263,19,3,0.0,0.8888888888888888,0.5
3,2013-09-23,Main,,Cloud9,Fnatic,Cloud9,1,-161.05808397047463,-1.0,-0.9,-0.8,-19,0,-0.5,0.5,0.7
3,2013-09-23,Main,,Fnatic,Cloud9,Fnatic,1,115.20262043999605,0.30000000000000004,0.30000000000000004,0.30000000000000004,19,0,0.0,0.9,0.0
3,2013-09-24,Main,,Gambit_Gaming,NaJin_Black_Sword,NaJin_Black_Sword,0,57.05650113981005,0.19999999999999996,0.19999999999999996,0.19999999999999996,4,0,0.5,0.8,0.5
3,2013-09-24,Main,,NaJin_Black_Sword,Gambit_Gaming,NaJin_Black_Sword,1,-19.84814030183702,0.0,-0.02857142857142858,-0.06493506493506496,-4,0,0.0,0.5,0.6
3,2013-09-25,Main,,Oh_My_God,Royal_Club,Royal_Club,0,74.80417995923858,0.30000000000000004,0.375,0.375,8,4,0.0,1.0,0.5
3,2013-09-25,Main,,Royal_Club,Oh_My_God,Royal_Club,1,-36.01898198670756,0.4,0.2222222222222222,0.2222222222222222,-8,0,0.5,0.5,0.75
3,2013-09-25,Main,,SK_Telecom_T1,Gamania_Bears,SK_Telecom_T1,1,84.1922349234926,0.5,0.375,0.375,8,4,0.0,1.0,0.5
3,2013-09-25,Main,,Gamania_Bears,SK_Telecom_T1,SK_Telecom_T1,0,-108.58614372533316,-1.0,-0.8888888888888888,-0.8888888888888888,-8,0,-0.5,0.5,0.75
